order_number,line_item_id,item_category,item_description,quantity,unit_price,item_total
PO-2023-002763,2,Load Balancer,Citrix ADC VPX,4,54633.66,218534.65
PO-2023-001672,18,Warranty/Support,Hardware Replacement,1,46876.72,46876.72
PO-2023-001944,3,PDU,Switched Rack PDU,2,1318.09,2636.17
PO-2023-001256,6,Cable,Fiber Optic Cable SC-LC,3,176.96,530.89
PO-2023-002601,2,Rack,Wall Mount 12U,4,2499.94,9999.77
PO-2023-000940,6,Router,7206 VXR,1,33706.79,33706.79
PO-2023-000858,10,Cable,Power Cord C13-C14,1,324.43,324.43
PO-2023-001256,2,UPS,Smart-UPS SRT 10000VA,2,28486.21,56972.43
PO-2023-002393,2,PDU,Monitored PDU,4,830.07,3320.29
PO-2023-000084,1,UPS,Galaxy 7000,2,42239.21,84478.41
PO-2023-002793,1,Cooling Unit,SmartCool Gen4,4,29764.63,119058.54
PO-2023-002638,1,Rack,Server Rack 48U,2,2980.12,5960.24
PO-2023-002423,5,Load Balancer,Citrix ADC VPX,6,74109.01,444654.06
PO-2023-003417,4,Cable,Fiber Optic Cable SC-LC,3,499.22,1497.67
PO-2023-001659,1,Cooling Unit,Liebert XD,1,58735.37,58735.37
PO-2023-002363,1,PDU,Intelligent PDU,2,3792.96,7585.92
PO-2023-000541,1,Router,RTX1210,3,47364.99,142094.98
PO-2023-003124,1,Storage Array,NetApp FAS2750,1,475618.32,475618.32
PO-2023-001590,5,UPS,Smart-UPS SRT 10000VA,2,13245.16,26490.33
PO-2023-001106,3,Load Balancer,A10 Thunder 3030S,2,51327.94,102655.89
PO-2023-001761,1,Firewall,TZ570,2,11871.61,23743.21
PO-2023-001391,2,Rack,Wall Mount 12U,3,1143.56,3430.69
PO-2023-003248,5,Software License,Oracle Database,2,40770.01,81540.02
PO-2023-001308,2,Cooling Unit,Stulz CyberAir,3,93591.21,280773.63
PO-2023-001548,1,PDU,Intelligent PDU,4,2726.76,10907.04
PO-2023-002466,1,Storage Array,NetApp FAS2750,5,409540.29,2047701.47
PO-2023-002153,1,PDU,Monitored PDU,1,1484.06,1484.06
PO-2023-003030,1,Software License,Citrix XenApp,4,58083.38,232333.52
PO-2023-002818,2,Cable,Cat6 Ethernet Cable,4,488.74,1954.95
PO-2023-001355,1,Storage Array,NetApp FAS2750,1,145496.17,145496.17
PO-2023-001865,2,Optics/Transceivers,SFP+ 10GBASE-SR,3,930.36,2791.09
PO-2023-001486,3,Network Switch,Arista 7050X3,2,69467.64,138935.27
PO-2023-002957,3,Optics/Transceivers,SFP28 25GBASE-SR,6,4538.58,27231.46
PO-2023-002996,1,Router,7206 VXR,2,43336.53,86673.06
PO-2023-001772,3,Cable,Fiber Optic Cable SC-LC,2,273.17,546.34
PO-2023-000711,1,Network Switch,Nexus 9000,2,47338.41,94676.82
PO-2023-002792,1,Cable,USB 3.0 Cable,2,109.16,218.33
PO-2023-002539,2,Server,PowerEdge R750,1,20790.28,20790.28
PO-2023-001723,2,Router,RTX1210,2,19922.51,39845.03
PO-2023-002919,4,Network Switch,Juniper EX4650,2,27396.26,54792.53
PO-2023-001444,2,PDU,Basic Rack PDU,10,3903.98,39039.77
PO-2023-000051,3,Software License,Red Hat Enterprise Linux,1,2310.14,2310.14
PO-2023-002711,2,Cooling Unit,Liebert XD,4,38772.85,155091.41
PO-2023-002757,5,Optics/Transceivers,CFP 100GBASE-LR4,1,3104.4,3104.4
PO-2023-001424,5,Cooling Unit,CyberAir 3,1,95496.95,95496.95
PO-2023-000760,3,Network Switch,Juniper EX4650,2,25641.02,51282.05
PO-2023-000169,1,Server,System x3650 M5,5,35554.03,177770.16
PO-2023-000452,5,Software License,Oracle Database,1,66010.39,66010.39
PO-2023-000447,2,Load Balancer,Citrix ADC VPX,2,14436.97,28873.94
PO-2023-002115,2,Cable,HDMI Cable 2.1,1,382.33,382.33
PO-2023-003153,3,UPS,PowerWave 9330,1,9428.54,9428.54
PO-2023-001552,1,Software License,Citrix XenApp,2,91610.95,183221.9
PO-2023-000088,6,Rack,Wall Mount 12U,1,2897.34,2897.34
