order_number,line_item_id,item_category,item_description,quantity,unit_price,item_total
PO-2023-001007,7,Server,ProLiant DL380 Gen10,3,28366.22,85098.65
PO-2023-000290,10,Warranty/Support,Extended Warranty,2,42913.35,85826.7
PO-2023-002131,3,Firewall,TZ570,2,68458.23,136916.45
PO-2023-001494,2,Cable,USB 3.0 Cable,3,369.63,1108.89
PO-2023-000836,1,Storage Array,Unity XT 480,3,497508.0,1492524.01
PO-2023-003046,1,Firewall,SRX4600,2,80102.8,160205.6
PO-2023-002763,3,Router,MX480,3,25930.92,77792.75
PO-2023-001112,5,UPS,PowerWave 9330,1,24332.06,24332.06
PO-2023-002271,4,Firewall,ASA 5516-X,2,11062.5,22125.01
PO-2023-001277,2,Warranty/Support,Premium Support,1,47057.68,47057.68
PO-2023-001451,7,Server,ThinkSystem SR650,1,19647.6,19647.6
PO-2023-000796,3,Cable,HDMI Cable 2.1,1,55.81,55.81
PO-2023-001953,7,Storage Array,Pure FlashArray//X,3,104809.86,314429.57
PO-2023-001621,1,Firewall,FortiGate 600E,1,126137.48,126137.48
PO-2023-000477,5,Firewall,SRX4600,2,68927.33,137854.66
PO-2023-003430,1,PDU,Switched Rack PDU,1,4665.11,4665.11
PO-2023-000292,5,Server,UCS C220 M5,3,45198.7,135596.11
PO-2023-001467,10,Load Balancer,F5 BIG-IP 4200v,4,13305.64,53222.57
PO-2023-003009,3,Warranty/Support,3-Year Next Business Day,2,27343.51,54687.01
PO-2023-002849,2,Network Switch,Nexus 9000,5,54284.95,271424.73
PO-2023-001081,4,Cable,Fiber Optic Cable SC-LC,1,371.17,371.17
PO-2023-001550,1,Firewall,pfSense SG-5100,2,62669.41,125338.82
PO-2023-000032,4,Firewall,SRX4600,2,138363.76,276727.51
PO-2023-001235,7,Server,ThinkSystem SR650,3,22412.56,67237.69
PO-2023-001303,1,Load Balancer,Radware Alteon VA,3,93585.25,280755.74
PO-2023-000607,6,Software License,Oracle Database,1,438.45,438.45
PO-2023-002656,1,Warranty/Support,3-Year Next Business Day,11,41245.2,453697.22
PO-2023-000650,1,Router,RTX1210,2,44512.07,89024.14
PO-2023-002615,5,Network Switch,Nexus 9000,6,60662.32,363973.9
PO-2023-002012,2,Server,ProLiant DL380 Gen10,2,41649.29,83298.59
PO-2023-002527,2,Cable,Coaxial Cable RG6,2,227.3,454.59
PO-2023-003062,2,UPS,OnLine S3 15kVA,2,39854.04,79708.08
PO-2023-002271,1,Load Balancer,F5 BIG-IP 4200v,1,41206.56,41206.56
PO-2023-002350,3,Firewall,FortiGate 600E,2,90828.06,181656.11
PO-2023-003277,1,Router,ISR 4451,3,21105.01,63315.02
PO-2023-003362,2,PDU,Metered Rack PDU,1,866.69,866.69
PO-2023-002906,5,Optics/Transceivers,XFP 10GBASE-ER,1,2510.35,2510.35
PO-2023-001170,9,UPS,PowerMax 2000,1,17011.95,17011.95
PO-2023-001406,4,Warranty/Support,ProSupport Plus,1,41134.62,41134.62
PO-2023-002407,1,Warranty/Support,Extended Warranty,4,20026.73,80106.93
PO-2023-000192,3,Load Balancer,Citrix ADC VPX,3,56160.73,168482.2
PO-2023-002202,3,Warranty/Support,Premium Support,1,41996.05,41996.05
PO-2023-000331,1,Rack,Colocation Rack 47U,3,2141.62,6424.85
PO-2023-002071,3,Router,ISR 4451,4,25078.97,100315.89
PO-2023-002604,1,Cable,USB 3.0 Cable,1,62.99,62.99
PO-2023-001041,8,Cooling Unit,CoolIT Direct2Die,3,81960.16,245880.49
PO-2023-000241,5,Server,UCS C220 M5,2,19867.62,39735.23
PO-2023-000199,1,Load Balancer,F5 BIG-IP 4200v,1,47672.41,47672.41
PO-2023-002208,3,Optics/Transceivers,SFP+ 10GBASE-SR,2,1864.47,3728.93
PO-2023-003058,5,Server,System x3650 M5,4,28119.84,112479.37
PO-2023-002850,19,UPS,RT 11000VA,2,12072.33,24144.66
PO-2023-001044,3,Cooling Unit,CyberAir 3,3,80072.37,240217.1
PO-2023-002271,7,Warranty/Support,5-Year 24x7x4,1,19929.31,19929.31
PO-2023-001217,1,PDU,Switched Rack PDU,7,3810.73,26675.08
PO-2023-001638,3,Storage Array,NetApp FAS2750,2,163120.59,326241.18
PO-2023-000865,10,Software License,Red Hat Enterprise Linux,5,38756.58,193782.88
PO-2023-003021,1,Optics/Transceivers,SFP 1000BASE-T,1,2202.63,2202.63
PO-2023-003176,2,Network Switch,ProCurve 5406zl,2,35859.05,71718.11
PO-2023-002911,7,Load Balancer,F5 BIG-IP 4200v,4,65901.92,263607.69
PO-2023-002393,1,Warranty/Support,Premium Support,2,28295.33,56590.66
PO-2023-000288,1,UPS,RT 11000VA,2,16363.87,32727.74
PO-2023-000888,1,Cable,Cat6 Ethernet Cable,4,356.91,1427.64
PO-2023-002259,1,Optics/Transceivers,SFP+ 10GBASE-SR,3,162.67,488.0
PO-2023-001369,3,Cable,Power Cord C13-C14,1,246.6,246.6
