order_number,line_item_id,item_category,item_description,quantity,unit_price,item_total
PO-2023-003054,4,Warranty/Support,5-Year 24x7x4,3,4530.87,13592.62
PO-2023-001260,1,UPS,PowerWave 9330,1,48591.08,48591.08
PO-2023-002037,2,Software License,Windows Server 2022,7,51186.15,358303.08
PO-2023-003469,5,Rack,Open Frame Rack 42U,5,1954.23,9771.16
PO-2023-003350,1,Rack,SmartRack 25U,1,3898.21,3898.21
PO-2023-000111,5,Server,ThinkSystem SR650,1,32485.1,32485.1
PO-2023-000527,1,Cooling Unit,SmartCool Gen4,1,58706.93,58706.93
PO-2023-002958,8,Storage Array,VMAX All Flash,4,146331.2,585324.78
PO-2023-003318,3,Network Switch,Catalyst 9300,2,5330.96,10661.92
PO-2023-002411,1,Optics/Transceivers,SFP 1000BASE-T,10,3914.02,39140.17
PO-2023-002724,1,Software License,Windows Server 2022,5,65896.66,329483.3
PO-2023-003488,3,Rack,Colocation Rack 47U,1,1006.57,1006.57
PO-2023-000597,4,Software License,Windows Server 2022,1,29044.79,29044.79
PO-2023-000806,4,Software License,VMware vSphere,1,30417.52,30417.52
PO-2023-000057,7,Rack,Open Frame Rack 42U,1,3545.72,3545.72
PO-2023-002845,1,UPS,Galaxy 7000,1,32299.13,32299.13
PO-2023-001219,3,Server,ThinkSystem SR650,3,26995.21,80985.63
PO-2023-001608,5,Network Switch,Catalyst 9300,1,21391.62,21391.62
PO-2023-001875,1,Optics/Transceivers,QSFP+ 40GBASE-LR4,2,3613.15,7226.31
PO-2023-000869,2,PDU,Zero U PDU,1,4234.63,4234.63
PO-2023-002485,2,Network Switch,ProCurve 5406zl,4,72586.41,290345.62
PO-2023-000099,6,Storage Array,Pure FlashArray//X,7,291079.89,2037559.21
PO-2023-001204,4,UPS,PowerMax 2000,3,14101.74,42305.22
PO-2023-000301,1,Network Switch,Nexus 9000,2,2566.96,5133.93
PO-2023-000567,8,Load Balancer,F5 BIG-IP 4200v,2,97801.25,195602.5
PO-2023-002790,5,PDU,Intelligent PDU,2,1133.62,2267.25
PO-2023-003198,4,Warranty/Support,Extended Warranty,1,30100.34,30100.34
PO-2023-000319,1,Router,7206 VXR,6,38636.13,231816.8
PO-2023-001732,1,Warranty/Support,Hardware Replacement,2,19580.09,39160.17
PO-2023-003301,2,Cable,Power Cord C13-C14,2,485.63,971.25
PO-2023-002226,2,Network Switch,Juniper EX4650,2,56541.42,113082.85
PO-2023-003002,1,Server,ProLiant DL380 Gen10,2,47347.11,94694.22
PO-2023-001850,4,Network Switch,Catalyst 9300,1,25178.37,25178.37
PO-2023-003062,4,Server,ProLiant DL380 Gen10,2,5080.77,10161.54
PO-2023-003055,1,Cooling Unit,SmartCool Gen4,1,10411.23,10411.23
PO-2023-002091,6,UPS,Smart-UPS SRT 10000VA,4,8306.16,33224.65
PO-2023-000992,8,Server,System x3650 M5,2,44518.15,89036.29
PO-2023-003035,1,Rack,Server Rack 48U,2,1431.62,2863.24
PO-2023-002628,4,PDU,Metered Rack PDU,2,3980.3,7960.6
PO-2023-001460,9,Warranty/Support,ProSupport Plus,3,12850.25,38550.75
PO-2023-001057,11,UPS,PowerMax 2000,1,11247.87,11247.87
PO-2023-002858,1,Cable,Fiber Optic Cable SC-LC,5,287.7,1438.52
PO-2023-001993,2,Software License,Microsoft SQL Server,5,1051.05,5255.23
PO-2023-001928,2,Cooling Unit,SmartCool Gen4,1,16901.33,16901.33
PO-2023-001057,1,Firewall,SRX4600,2,9066.22,18132.43
PO-2023-003155,6,Warranty/Support,Hardware Replacement,2,26963.69,53927.37
PO-2023-003268,2,Network Switch,ProCurve 5406zl,2,24889.55,49779.1
PO-2023-002580,1,Firewall,PA-3220,2,96632.46,193264.92
PO-2023-001151,4,Load Balancer,Citrix ADC VPX,2,44307.17,88614.34
PO-2023-003108,6,Software License,VMware vSphere,2,54363.26,108726.52
PO-2023-000439,3,Storage Array,VMAX All Flash,1,63451.11,63451.11
PO-2023-001584,2,Router,ISR 4451,2,46276.28,92552.56
PO-2023-002755,1,PDU,Basic Rack PDU,4,987.16,3948.65
PO-2023-001855,3,Firewall,FortiGate 600E,2,78968.53,157937.05
PO-2023-003317,1,Load Balancer,F5 BIG-IP 4200v,2,71543.65,143087.31
PO-2023-001799,3,Warranty/Support,Hardware Replacement,5,37672.08,188360.38
PO-2023-001009,1,Firewall,SRX4600,4,37565.33,150261.33
PO-2023-000051,1,PDU,Basic Rack PDU,4,4955.67,19822.67
PO-2023-003108,1,Server,System x3650 M5,6,27974.93,167849.6
PO-2023-000273,1,Software License,Citrix XenApp,1,44727.97,44727.97
PO-2023-002962,1,Network Switch,Juniper EX4650,2,47793.13,95586.26
PO-2023-001556,2,UPS,PowerWave 9330,1,32457.34,32457.34
PO-2023-002998,5,Warranty/Support,5-Year 24x7x4,1,18809.29,18809.29
PO-2023-000577,2,Firewall,SRX4600,2,67629.39,135258.79
PO-2023-003233,4,Warranty/Support,5-Year 24x7x4,2,46730.15,93460.3
PO-2023-001742,5,Network Switch,PowerConnect 8024F,2,68419.81,136839.61
PO-2023-002929,1,Load Balancer,HAProxy Enterprise,1,12205.25,12205.25
PO-2023-000633,12,Rack,SmartRack 25U,1,1465.61,1465.61
PO-2023-002944,1,Software License,Windows Server 2022,1,59908.8,59908.8
PO-2023-003345,5,UPS,OnLine S3 15kVA,1,14330.52,14330.52
PO-2023-001491,4,Warranty/Support,Premium Support,6,16472.83,98836.99
PO-2023-001581,8,Software License,Microsoft SQL Server,1,23737.27,23737.27
PO-2023-001473,2,Rack,Wall Mount 12U,1,3530.81,3530.81
PO-2023-000377,2,Load Balancer,A10 Thunder 3030S,1,33492.56,33492.56
PO-2023-002744,1,Warranty/Support,Hardware Replacement,5,4042.7,20213.5
PO-2023-000433,4,Firewall,ASA 5516-X,2,8744.57,17489.13
PO-2023-002789,1,Load Balancer,HAProxy Enterprise,1,36428.62,36428.62
PO-2023-001521,5,Warranty/Support,Extended Warranty,5,17840.0,89200.01
PO-2023-002154,1,Storage Array,3PAR 8450,1,46391.86,46391.86
PO-2023-001850,6,Load Balancer,Kemp LoadMaster LM-X15,6,28172.01,169032.03
PO-2023-003448,2,Warranty/Support,Extended Warranty,2,18145.9,36291.8
PO-2023-000472,10,Rack,Open Frame Rack 42U,1,1421.59,1421.59
PO-2023-001726,1,Storage Array,StorageGRID SG1000,1,335220.97,335220.97
PO-2023-002625,12,Network Switch,Juniper EX4650,2,24856.01,49712.02
PO-2023-000908,1,Load Balancer,HAProxy Enterprise,2,17529.71,35059.41
PO-2023-002394,2,Load Balancer,A10 Thunder 3030S,1,60937.01,60937.01
PO-2023-003133,2,Cooling Unit,CyberAir 3,2,53784.52,107569.05
PO-2023-002447,1,Storage Array,Unity XT 480,2,225272.49,450544.99
PO-2023-001380,7,Load Balancer,F5 BIG-IP 4200v,4,50539.16,202156.64
PO-2023-002813,2,PDU,Metered Rack PDU,5,4711.8,23558.98
PO-2023-002128,4,Software License,Red Hat Enterprise Linux,5,75356.35,376781.74
PO-2023-001180,1,Software License,VMware vSphere,1,96673.09,96673.09
PO-2023-000734,1,Cable,Fiber Optic Cable SC-LC,1,280.01,280.01
PO-2023-002343,1,Load Balancer,Radware Alteon VA,8,79483.05,635864.38
PO-2023-001258,11,Cooling Unit,InRow RP 300mm,1,99740.23,99740.23
PO-2023-000773,5,Optics/Transceivers,SFP 1000BASE-T,1,4584.73,4584.73
PO-2023-000384,14,Warranty/Support,Premium Support,2,46819.59,93639.18
PO-2023-000647,4,Server,System x3650 M5,8,20726.83,165814.67
PO-2023-000056,1,Cable,HDMI Cable 2.1,1,237.65,237.65
PO-2023-001753,1,Cable,Cat6 Ethernet Cable,1,313.43,313.43
PO-2023-000249,2,Cooling Unit,InRow RP 300mm,1,24815.85,24815.85
PO-2023-000481,1,Cooling Unit,CoolIT Direct2Die,1,96113.32,96113.32
PO-2023-000597,8,PDU,Switched Rack PDU,1,734.4,734.4
PO-2023-001182,3,Server,PowerEdge R740,1,32492.83,32492.83
PO-2023-002510,1,Storage Array,VMAX All Flash,1,285680.82,285680.82
PO-2023-000116,1,Rack,Colocation Rack 47U,2,3822.34,7644.69
PO-2023-003330,1,Router,ASR 1001-X,5,58460.5,292302.51
PO-2023-003002,3,Server,UCS C220 M5,5,29235.16,146175.81
PO-2023-002011,1,PDU,Intelligent PDU,2,3912.49,7824.99
PO-2023-002094,3,Server,System x3650 M5,4,7279.06,29116.24
PO-2023-000472,2,Optics/Transceivers,CFP 100GBASE-LR4,7,3496.73,24477.09
PO-2023-000100,3,Server,UCS C220 M5,1,19859.68,19859.68
PO-2023-002351,1,Optics/Transceivers,SFP+ 10GBASE-SR,1,3826.2,3826.2
PO-2023-000232,8,Network Switch,PowerConnect 8024F,1,34268.44,34268.44
PO-2023-001450,2,Network Switch,Arista 7050X3,2,21298.59,42597.19
PO-2023-001116,4,Firewall,PA-3220,2,136941.93,273883.86
PO-2023-003118,2,Firewall,PA-3220,2,126180.86,252361.72
PO-2023-003207,2,Cooling Unit,Stulz CyberAir,1,91701.62,91701.62
PO-2023-002274,2,Cooling Unit,InRow RP 300mm,1,18197.27,18197.27
PO-2023-002455,4,Software License,Oracle Database,1,37761.12,37761.12
PO-2023-000437,2,Network Switch,Arista 7050X3,2,10003.45,20006.9
PO-2023-000211,2,PDU,Metered Rack PDU,1,984.26,984.26
PO-2023-000485,1,Firewall,ASA 5516-X,2,44948.12,89896.25
PO-2023-002996,4,Router,RTX1210,2,98985.12,197970.24
PO-2023-001641,5,Storage Array,Unity XT 480,1,492779.79,492779.79
PO-2023-003348,8,Network Switch,Arista 7050X3,3,19491.97,58475.91
PO-2023-000814,2,Rack,Wall Mount 12U,3,2701.42,8104.26
PO-2023-002728,3,Cooling Unit,Liebert XD,3,49227.48,147682.43
PO-2023-003444,2,Storage Array,3PAR 8450,3,402849.54,1208548.61
PO-2023-001713,4,Software License,Oracle Database,2,96453.4,192906.81
PO-2023-001030,6,Optics/Transceivers,CFP 100GBASE-LR4,1,275.73,275.73
PO-2023-001810,9,Firewall,SRX4600,2,49584.74,99169.48
PO-2023-002699,5,Software License,Windows Server 2022,6,15822.9,94937.38
PO-2023-003179,1,Rack,Colocation Rack 47U,1,2168.69,2168.69
PO-2023-002900,6,Optics/Transceivers,SFP28 25GBASE-SR,1,482.57,482.57
PO-2023-002601,1,Cable,USB 3.0 Cable,2,456.56,913.12
PO-2023-002849,3,Load Balancer,Radware Alteon VA,4,67488.81,269955.25
PO-2023-000017,6,Cooling Unit,CoolIT Direct2Die,1,29512.82,29512.82
PO-2023-003099,2,Optics/Transceivers,CFP 100GBASE-LR4,8,3902.39,31219.1
PO-2023-002160,3,Warranty/Support,ProSupport Plus,3,26127.89,78383.67
PO-2023-003319,6,Software License,Windows Server 2022,7,88701.54,620910.78
PO-2023-002881,3,Firewall,ASA 5516-X,2,105040.12,210080.23
PO-2023-000878,1,PDU,Monitored PDU,1,870.82,870.82
